Category,Software,Version,Windows PC Express Software,PC Standard,Windows PC Standard Software,"PC Satellite Lab
(Satellite Facilities)",Mac Express Software,Mac Help Kiosk Software,Mac Standard 1,Mac Standard Software,Mac Standard Software + Pro Tools,Mac Advanced Audio Software,Audio Suite Software,Satellite Lab
Statistics and Research,ArcReader,10.3.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,ArcScene,10.3.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,"
ArcGIS Editor for Open Street Map",10.3.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,CityEngine,10.3.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,Infoshare Online,Online,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,Eviews,9,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Statistics and Research,R,3.2.1,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,R Studio,0.99,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,Mapbox Studio,0.2.7,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,Google Refine,2.5,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,SAS,9.4,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,SPSS,23,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,Mathematica,10.2,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,Stata SE,14,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Statistics and Research,Matlab,R2015a,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes
Statistics and Research,Qualtrics,Online,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Advanced Video,Final Cut Studio,3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes
Advanced Video,Final Cut Pro,7.0.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes
Advanced Video,Compressor,3.5.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes
Advanced Video,Cinema Tools,4.5.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes
Advanced Video,QuickTime Pro,7.6.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes
Advanced Video,Apple DVD Studio Pro,4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes
Advanced Video,Color,1.5.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Not Available
Advanced Video,Motion,4.0.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Not Available
Advanced Video,Soundtrack Pro,3.0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Not Available
Advanced Video,"Avid Media Composer
- AVCHD AMA plug-in
- MXF plugin",8.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Not Available
Advanced Video,Sorenson Squeeze for Avid Media Composer,8.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Not Available
Advanced Video,Avid FX,6.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Not Available
Advanced Audio,"Pro Tools®
Includes 
-MP3 Options
-DV ToolKit 2 ",12.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Not Available
Advanced Audio,Pro Tools®,12.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,Not Available
Advanced Audio,"Pro Tools® TDM
Includes  
- MP3 Options
- DV ToolKit 2 ",12.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available
Advanced Audio,Pro Tools® Digi G003,12.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available
Advanced Audio,"Waves NPP &TDM1
Bundle Includes 
- TrueVerb
- L1 Ultramaximizer
- Q10 Paragraphic Equalizer
- C1 Parametric Compander
- IR-L Convolution Reverb
- SuperTap
- DeEsser
- S1 Stereo Imager
- Renaissance Axx",9.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,"Renaissance Maxx
Includes 
- Renaissance Axx
- Renaissance Bass 
- Renaissance Channel 
- Renaissance Compressor 
- Renaissance DeEsser
- Renaissance Equalizer 
- Renaissance Reverb 
- Renaissance Vox
- IR-L Convolution Reverb
- Waves Tune LT",9.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,"Restoration Bundle
Includes 
- Z-Noise;
- X-Noise
- X-Hum
- X-Click;
- X-Crackle",9.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,Response libraries for Waves IR-L,9.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,C4 multiband,9.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,Reason,8.3d92,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,Recycle for Reason,2.2.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,Max/MSP + Jitter Bundle,"7.0.5 
",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available
Advanced Audio,Finale,2014,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes
Advanced Audio,Sibelius,7.5.1 Mac,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,Logic Studio,9.1.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,KOMPLETE,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Not Available
Advanced Audio,Celemony Melodyne Editor,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes
Advanced Audio,Motu Digital Performer,9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes
